ProjectId,ComplexityScore,TotalBlocks,UniqueTargets,ControlBlocks,CustomBlocks
98627498,197.5,303,23,0,0
98974082,197.5,355,10,0,0
99451127,197.5,347,12,0,0
98814485,197.5,355,10,0,0
90011125,197.5,355,10,0,0
75383798,197.5,375,5,0,0
99347401,197.5,335,15,0,0
98538407,197.5,267,32,0,0
99566849,197.5,343,13,0,0
89610083,197.5,299,24,0,0
99091038,197.5,363,8,0,0
99093120,197.5,339,14,0,0
99042503,197.5,319,19,0,0
99573799,197.5,291,26,0,0
97622578,197.5,303,23,0,0
99775654,197.5,259,34,0,0
98612492,197.5,303,23,0,0
98562493,197.5,327,17,0,0
99468140,197.5,303,23,0,0
98928413,197.5,379,4,0,0
87993806,197.5,347,12,0,0
95761670,197.5,299,24,0,0
98797101,197.5,343,13,0,0
98214048,197.5,319,19,0,0
99948535,197.5,347,12,0,0
98636727,197.5,339,14,0,0
99160632,197.0,282,28,0,0
99949559,197.0,306,22,0,0
98863457,197.0,330,16,0,0
99551812,197.0,346,12,0,0
99153265,197.0,330,16,0,0
98793148,197.0,378,4,0,0
99112386,197.0,350,11,0,0
99809219,197.0,322,18,0,0
95671272,197.0,354,10,0,0
99060806,197.0,326,17,0,0
98116759,197.0,306,22,0,0
98426626,197.0,358,9,0,0
98609801,197.0,298,24,0,0
97560522,197.0,354,10,0,0
97537910,197.0,358,9,0,0
99754250,197.0,374,5,0,0
95408565,197.0,314,20,0,0
97249080,197.0,330,16,0,0
99096182,197.0,306,22,0,0
99048388,197.0,338,14,0,0
98616942,197.0,342,13,0,0
95551869,197.0,358,9,0,0
99388572,197.0,346,12,0,0
54889522,197.0,342,13,0,0
99561601,197.0,354,10,0,0
98647865,197.0,298,24,0,0
99649023,197.0,382,3,0,0
99561213,197.0,350,11,0,0
98533580,197.0,274,30,0,0
99336605,197.0,298,24,0,0
98819887,197.0,354,10,0,0
98853340,197.0,374,5,0,0
89551633,197.0,386,2,0,0
98854975,197.0,298,24,0,0
99618558,197.0,358,9,0,0
99559103,197.0,334,15,0,0
99625906,197.0,282,28,0,0
98211803,197.0,374,5,0,0
98879288,197.0,278,29,0,0
98769127,197.0,358,9,0,0
99952606,197.0,274,30,0,0
99269926,197.0,362,8,0,0
99792296,196.5,253,35,0,0
98621035,196.5,357,9,0,0
98881464,196.5,285,27,0,0
99621231,196.5,261,33,0,0
98966918,196.5,341,13,0,0
98534876,196.5,349,11,0,0
99779787,196.5,345,12,0,0
95130781,196.5,333,15,0,0
97224230,196.5,309,21,0,0
98686798,196.5,377,4,0,0
98679895,196.5,341,13,0,0
98824856,196.5,253,35,0,0
99130296,196.5,345,12,0,0
95397885,196.5,309,21,0,0
98879041,196.5,325,17,0,0
99105668,196.5,317,19,0,0
99101741,196.5,301,23,0,0
99403962,196.5,337,14,0,0
98785822,196.5,301,23,0,0
98855950,196.5,345,12,0,0
99954181,196.5,309,21,0,0
99793395,196.5,313,20,0,0
99186490,196.5,345,12,0,0
89172065,196.5,305,22,0,0
97705681,196.5,349,11,0,0
98319868,196.5,345,12,0,0
99458717,196.5,309,21,0,0
99337632,196.5,377,4,0,0
99640064,196.5,313,20,0,0
99627096,196.5,361,8,0,0
99173053,196.5,349,11,0,0
97975939,196.5,345,12,0,0
98785082,196.5,285,27,0,0
99113165,196.5,333,15,0,0
97960093,196.5,369,6,0,0
99818787,196.5,361,8,0,0
99115442,196.5,337,14,0,0
99925795,196.0,344,12,0,0
99088651,196.0,340,13,0,0
99603871,196.0,328,16,0,0
99307577,196.0,332,15,0,0
99152318,196.0,328,16,0,0
99948229,196.0,332,15,0,0
91389267,196.0,352,10,0,0
99166934,196.0,324,17,0,0
99106202,196.0,368,6,0,0
94592684,196.0,276,29,0,0
99691111,196.0,324,17,0,0
98341994,196.0,332,15,0,0
98337834,196.0,360,8,0,0
99056207,196.0,348,11,0,0
99423117,196.0,328,16,0,0
99002085,196.0,252,35,0,0
97977170,196.0,328,16,0,0
97971965,196.0,304,22,0,0
99524635,196.0,320,18,0,0
97877812,196.0,304,22,0,0
99386877,196.0,192,50,0,0
98515447,196.0,272,30,0,0
98533837,196.0,344,12,0,0
94389597,196.0,372,5,0,0
98979703,196.0,328,16,0,0
98809089,196.0,288,26,0,0
98195437,196.0,356,9,0,0
99188046,196.0,360,8,0,0
99541334,196.0,340,13,0,0
99343417,196.0,260,33,0,0
99493686,196.0,324,17,0,0
98970985,196.0,280,28,0,0
